model,horizon,nominal,empirical,winkler,mean_width
Naive-Gaussian,1,0.5,0.0233,315.432,15.1374
Naive-Gaussian,1,0.8,0.0342,713.2908,28.7616
Naive-Gaussian,1,0.95,0.0506,2522.9559,42.2102
Naive-Gaussian,7,0.5,0.0492,292.2264,40.0498
Naive-Gaussian,7,0.8,0.1382,542.4595,76.0959
Naive-Gaussian,7,0.95,0.2517,1405.6975,111.6777
Naive-Gaussian,14,0.5,0.5814,99.0416,56.639
Naive-Gaussian,14,0.8,0.8358,142.7263,107.6159
Naive-Gaussian,14,0.95,0.9521,203.1282,157.9361
Naive-Gaussian,30,0.5,0.7456,107.1183,82.911
Naive-Gaussian,30,0.8,0.9521,168.9279,157.5335
Naive-Gaussian,30,0.95,0.9904,241.4219,231.1948
Naive-Gaussian,60,0.5,0.8632,128.4038,117.2539
Naive-Gaussian,60,0.8,0.9904,225.7454,222.7861
Naive-Gaussian,60,0.95,0.9986,328.8437,326.9588
Naive-Gaussian,90,0.5,0.9357,149.7275,143.6061
Naive-Gaussian,90,0.8,0.9945,273.9943,272.8561
Naive-Gaussian,90,0.95,1.0,400.4411,400.4411
LASSO-QR,1,0.5,0.0014,43.6958,0.0204
LASSO-QR,1,0.8,0.0068,108.7217,0.1335
LASSO-QR,1,0.95,0.0684,411.7683,1.4623
LASSO-QR,7,0.5,0.0014,70.9586,0.0207
LASSO-QR,7,0.8,0.0041,176.8753,0.135
LASSO-QR,7,0.95,0.0246,681.6977,1.4975
LASSO-QR,14,0.5,0.0,85.4696,0.0209
LASSO-QR,14,0.8,0.0014,213.1228,0.1365
LASSO-QR,14,0.95,0.0192,824.155,1.546
LASSO-QR,30,0.5,0.0,120.32,0.0213
LASSO-QR,30,0.8,0.0,300.1699,0.1426
LASSO-QR,30,0.95,0.026,1168.6476,1.623
LASSO-QR,60,0.5,0.0014,152.0924,0.0224
LASSO-QR,60,0.8,0.0014,379.4796,0.1581
LASSO-QR,60,0.95,0.0287,1476.3962,1.9252
LASSO-QR,90,0.5,0.0014,185.7696,0.0237
LASSO-QR,90,0.8,0.0014,463.5632,0.1768
LASSO-QR,90,0.95,0.015,1803.8983,2.2845
DMLP,1,0.5,0.3611,73.5468,27.4851
DMLP,1,0.8,0.7305,104.2293,55.8481
DMLP,1,0.95,0.8769,192.5385,91.209
DMLP,7,0.5,0.3543,81.3234,27.5477
DMLP,7,0.8,0.6881,121.1529,55.9293
DMLP,7,0.95,0.8454,223.5828,91.2337
DMLP,14,0.5,0.3311,89.962,27.5452
DMLP,14,0.8,0.6484,139.4256,55.8852
DMLP,14,0.95,0.814,270.2017,91.0721
DMLP,30,0.5,0.357,108.5637,27.6667
DMLP,30,0.8,0.6088,190.5607,56.0157
DMLP,30,0.95,0.7647,440.9372,91.0099
DMLP,60,0.5,0.3393,117.7443,28.4346
DMLP,60,0.8,0.5349,213.2616,57.291
DMLP,60,0.95,0.6977,520.3202,92.3987
DMLP,90,0.5,0.2476,146.5117,29.644
DMLP,90,0.8,0.4364,269.1419,59.412
DMLP,90,0.95,0.5951,688.952,95.0261
