feature,in_short,in_medium,in_long,spearman_r,p_value,adf_p,unit_root_suspected,bound_lower,bound_upper,region
cal_day_of_year_cos,True,True,True,0.2049,0.0,0.0,False,,,NO1
cal_day_of_year_sin,True,True,True,0.1225,0.0,0.0,False,,,NO1
cal_month_cos,True,True,True,0.1796,0.0,0.1242,True,,,NO1
cal_month_sin,True,True,True,0.1511,0.0,0.1866,True,,,NO1
co2_30d_mean,False,True,False,,,,,,,NO1
derived_forward_slope,True,True,False,-0.6754,0.0,0.0018,False,,,NO1
derived_gas_volatility_30d,True,True,False,0.6734,0.0,0.0,False,,,NO1
derived_hydro_change,True,False,False,-0.0813,0.0,0.0,False,,,NO1
derived_inflow_z_score,True,True,False,-0.2593,0.0,0.0,False,-inf,0.0,NO1
epad_M1,True,True,False,0.7725,0.0,0.3743,True,0.0,inf,NO1
epad_Y1,True,True,True,0.6354,0.0,0.5089,True,0.0,inf,NO1
epad_slope,True,True,False,0.4338,0.0,0.0374,False,,,NO1
epad_y1_premium,False,False,True,,,,,,,NO1
expected_hydro_seasonal,False,False,True,,,,,,,NO1
expected_hydro_std,False,False,True,,,,,,,NO1
expected_inflow_seasonal,False,False,True,,,,,,,NO1
forward_M1,True,True,False,0.8318,0.0,0.0191,False,0.0,inf,NO1
forward_Y1,True,True,True,0.6253,0.0,0.1145,True,0.0,inf,NO1
fuel_brent_usd_bbl,True,False,False,0.5999,0.0,0.3613,True,0.0,0.588,NO1
fuel_carbon_eur_t,True,True,False,0.5431,0.0,0.485,True,0.0,1.33,NO1
fuel_gas_eur_mwh,True,True,False,0.7415,0.0,0.1303,True,0.0,4.0,NO1
gas_30d_mean,False,True,False,,,,,,,NO1
gas_co2_ratio,True,False,False,0.6446,0.0,0.0625,True,,,NO1
high_gas_vol,False,True,False,,,,,,,NO1
hydro_above_seasonal_p90,False,True,False,,,,,,,NO1
hydro_below_seasonal_p10,False,True,False,,,,,,,NO1
hydro_fill_rate,True,False,False,-0.0813,0.0,0.0,False,,,NO1
hydro_reserve_gwh,True,True,False,-0.3575,0.0,0.0011,False,-inf,0.0,NO1
hydro_seasonal_z,False,True,False,,,,,,,NO1
implied_spot_M1,True,True,False,0.8648,0.0,0.1509,True,,,NO1
implied_spot_Y1,True,True,True,0.6821,0.0,0.258,True,,,NO1
inflow_below_seasonal_p10,False,True,False,,,,,,,NO1
inflow_hbv_gwh,True,True,False,-0.3388,0.0,0.0,False,-inf,0.0,NO1
inflow_seasonal_z,False,True,False,,,,,,,NO1
inflow_snow_gwh,True,False,False,0.1527,0.0,0.002,False,,,NO1
interaction_hydro_gas,True,True,False,0.1765,0.0,0.0146,False,,,NO1
is_weekend,True,False,False,-0.0978,0.0,0.0,False,,,NO1
lag_price_1d,True,False,False,0.9493,0.0,0.0007,False,0.0,inf,NO1
lag_price_30d,True,False,False,0.7667,0.0,0.0007,False,0.0,inf,NO1
lag_price_365d,True,True,False,0.1757,0.0,0.0011,False,0.0,inf,NO1
lag_price_7d,True,False,False,0.8801,0.0,0.0007,False,0.0,inf,NO1
load_mw,True,False,False,0.2061,0.0,0.024,False,0.0,inf,NO1
ma_price_30d,True,False,False,0.8867,0.0,0.0004,False,,,NO1
ma_price_7d,True,False,False,0.9274,0.0,0.0003,False,,,NO1
macro_eur_nok,True,True,True,-0.1964,0.0,0.3156,True,,,NO1
macro_eur_nok_30d,False,True,False,,,,,,,NO1
macro_eur_nok_90d,False,False,True,,,,,,,NO1
month_num,True,True,True,-0.0957,0.0,0.0002,False,,,NO1
price_momentum_30d,True,False,False,0.2246,0.0,0.0,False,,,NO1
price_momentum_7d,True,False,False,0.1535,0.0,0.0,False,,,NO1
price_seasonal_z,False,True,False,,,,,,,NO1
price_vs_seasonal,False,True,False,,,,,,,NO1
ratio_gas_to_hydro,True,False,False,0.8051,0.0,0.0738,True,,,NO1
reservoir_deviation_gwh,True,True,False,-0.6259,0.0,0.019,False,-inf,0.0,NO1
roll_gas_mean_30d,True,False,False,0.7583,0.0,0.1173,True,,,NO1
roll_gas_mean_7d,True,False,False,0.7489,0.0,0.1796,True,,,NO1
roll_hydro_mean_30d,True,False,False,-0.2706,0.0,0.0,False,,,NO1
roll_hydro_mean_7d,True,False,False,-0.3341,0.0,0.0,False,,,NO1
roll_price_mean_14d,True,False,False,0.9116,0.0,0.0006,False,,,NO1
roll_price_mean_30d,True,False,False,0.8881,0.0,0.0005,False,,,NO1
roll_price_mean_7d,True,False,False,0.9277,0.0,0.0003,False,,,NO1
roll_price_mean_90d,True,False,False,0.8178,0.0,0.2329,True,,,NO1
roll_price_std_14d,True,False,False,0.6883,0.0,0.0,False,,,NO1
roll_price_std_30d,True,False,False,0.69,0.0,0.0023,False,,,NO1
roll_price_std_7d,True,False,False,0.6752,0.0,0.0,False,,,NO1
roll_price_std_90d,True,False,False,0.7131,0.0,0.125,True,,,NO1
season_autumn,True,True,True,-0.0701,0.0004,0.0003,False,,,NO1
season_spring,True,True,True,0.0372,0.0619,0.0004,False,,,NO1
season_summer,True,True,True,-0.1566,0.0,0.0004,False,,,NO1
season_winter,True,True,True,0.1889,0.0,0.0004,False,,,NO1
seasonal_hydro_reserve_gwh_mean,False,True,False,,,,,,,NO1
seasonal_hydro_reserve_gwh_p10,False,True,False,,,,,,,NO1
seasonal_hydro_reserve_gwh_p90,False,True,False,,,,,,,NO1
seasonal_hydro_reserve_gwh_std,False,True,False,,,,,,,NO1
seasonal_inflow_hbv_gwh_mean,False,True,False,,,,,,,NO1
seasonal_inflow_hbv_gwh_std,False,True,False,,,,,,,NO1
