feature,r,abs_r,p_value,n_valid,direction,rank
implied_spot_Y1,0.6820715567062838,0.6820715567062838,0.0,2516,positive,1
epad_Y1,0.6353800674123852,0.6353800674123852,1.4142396279757926e-284,2516,positive,2
epad_y1_premium,0.6353800674123852,0.6353800674123852,1.4142396279757926e-284,2516,positive,3
forward_Y1,0.6252738064365244,0.6252738064365244,4.995676364145529e-273,2516,positive,4
time_trend,0.2183530587726977,0.2183530587726977,1.5502363485638055e-28,2516,positive,5
cal_day_of_year_cos,0.20486831939347772,0.20486831939347772,3.01535775638098e-25,2516,positive,6
expected_inflow_seasonal,-0.19757725177649427,0.19757725177649427,1.5503561987948384e-23,2513,negative,7
macro_eur_nok,-0.19637773926367375,0.19637773926367375,2.724048005918168e-23,2516,negative,8
seasonal_spot_price_p10,0.19627848280293714,0.19627848280293714,3.043732592217461e-23,2513,positive,9
season_winter,0.18891572250523342,0.18891572250523342,1.2070825556904771e-21,2516,positive,10
macro_eur_nok_90d,-0.18452867558995015,0.18452867558995015,5.0490038899344457e-20,2426,negative,11
cal_month_cos,0.1795816926845527,0.1795816926845527,1.1142176396434628e-19,2516,positive,12
season_summer,-0.15664234938831498,0.15664234938831498,2.743272863568146e-15,2516,negative,13
cal_month_sin,0.15110544322385397,0.15110544322385397,2.547942989625667e-14,2516,positive,14
cal_day_of_year_sin,0.12254324515346297,0.12254324515346297,6.962487635421489e-10,2516,positive,15
expected_hydro_seasonal,-0.11719975797617348,0.11719975797617348,3.801699314140802e-09,2513,negative,16
week_of_year,-0.10143917533550784,0.10143917533550784,3.418293402878471e-07,2516,negative,17
month_num,-0.09574110336107693,0.09574110336107693,1.5016369527177892e-06,2516,negative,18
seasonal_price_mean,0.08466106011959734,0.08466106011959734,2.141869497279601e-05,2513,positive,19
seasonal_spot_price_mean,0.08466106011959734,0.08466106011959734,2.141869497279601e-05,2513,positive,20
season_autumn,-0.07013825633839944,0.07013825633839944,0.00043040106183652924,2516,negative,21
expected_hydro_std,-0.05147607882353628,0.05147607882353628,0.00985390146008354,2513,negative,22
seasonal_spot_price_std,-0.04111426563870969,0.04111426563870969,0.039312852122423414,2513,negative,23
seasonal_price_std,-0.04111426563870969,0.04111426563870969,0.039312852122423414,2513,negative,24
seasonal_spot_price_p90,0.03795454234055682,0.03795454234055682,0.05711971449177749,2513,positive,25
season_spring,0.03722948680065625,0.03722948680065625,0.06188192306760021,2516,positive,26
