feature,r,abs_r,p_value,n_valid,direction,rank
price_vs_seasonal,0.9404512037851847,0.9404512037851847,0.0,2513,positive,1
price_seasonal_z,0.9253700393453829,0.9253700393453829,0.0,2513,positive,2
implied_spot_M1,0.864774312273633,0.864774312273633,0.0,2516,positive,3
forward_M1,0.8317794686409179,0.8317794686409179,0.0,2516,positive,4
epad_M1,0.7724746896621858,0.7724746896621858,0.0,2516,positive,5
gas_30d_mean,0.7582806903736682,0.7582806903736682,0.0,2486,positive,6
fuel_gas_eur_mwh,0.7415238027848184,0.7415238027848184,0.0,2516,positive,7
implied_spot_Y1,0.6820715567062838,0.6820715567062838,0.0,2516,positive,8
derived_forward_slope,-0.6753861501365398,0.6753861501365398,0.0,2516,negative,9
derived_gas_volatility_30d,0.6734014544148506,0.6734014544148506,0.0,2516,positive,10
epad_Y1,0.6353800674123852,0.6353800674123852,1.4142396279757926e-284,2516,positive,11
reservoir_deviation_gwh,-0.625912662060072,0.625912662060072,9.576385450263303e-274,2516,negative,12
forward_Y1,0.6252738064365244,0.6252738064365244,4.995676364145529e-273,2516,positive,13
interaction_hydro_gas,-0.6105180288697578,0.6105180288697578,1.3126940454664087e-256,2513,negative,14
high_gas_vol,0.6065676197191088,0.6065676197191088,9.667409746021618e-253,2516,positive,15
co2_30d_mean,0.5472619589943879,0.5472619589943879,2.9239856968318536e-194,2486,positive,16
fuel_carbon_eur_t,0.5430694384536813,0.5430694384536813,4.996805460833253e-193,2516,positive,17
hydro_seasonal_z,-0.5211683325054469,0.5211683325054469,4.760905716134365e-175,2513,negative,18
epad_slope,0.4338258587492364,0.4338258587492364,5.468027749021344e-116,2516,positive,19
hydro_below_seasonal_p10,0.41619217051233937,0.41619217051233937,5.539558154097597e-106,2516,positive,20
hydro_reserve_gwh,-0.3575328098082262,0.3575328098082262,9.61718970433765e-77,2516,negative,21
inflow_hbv_gwh,-0.3387862089824255,0.3387862089824255,1.3069397811658067e-68,2516,negative,22
inflow_seasonal_z,-0.3050887114394294,0.3050887114394294,2.781384287223104e-55,2513,negative,23
inflow_below_seasonal_p10,0.26607815913400057,0.26607815913400057,4.888232860581963e-42,2516,positive,24
derived_inflow_z_score,-0.2593216059949804,0.2593216059949804,6.050499305927476e-40,2516,negative,25
cal_day_of_year_cos,0.20486831939347772,0.20486831939347772,3.01535775638098e-25,2516,positive,26
seasonal_inflow_hbv_gwh_mean,-0.19757725177649427,0.19757725177649427,1.5503561987948384e-23,2513,negative,27
macro_eur_nok,-0.19637773926367375,0.19637773926367375,2.724048005918168e-23,2516,negative,28
seasonal_spot_price_p10,0.19627848280293714,0.19627848280293714,3.043732592217461e-23,2513,positive,29
season_winter,0.18891572250523342,0.18891572250523342,1.2070825556904771e-21,2516,positive,30
macro_eur_nok_30d,-0.18721771135303789,0.18721771135303789,4.8084104877550734e-21,2486,negative,31
cal_month_cos,0.1795816926845527,0.1795816926845527,1.1142176396434628e-19,2516,positive,32
lag_price_365d,0.17565379061719,0.17565379061719,6.9644233780420975e-19,2516,positive,33
season_summer,-0.15664234938831498,0.15664234938831498,2.743272863568146e-15,2516,negative,34
cal_month_sin,0.15110544322385397,0.15110544322385397,2.547942989625667e-14,2516,positive,35
cal_day_of_year_sin,0.12254324515346297,0.12254324515346297,6.962487635421489e-10,2516,positive,36
seasonal_hydro_reserve_gwh_mean,-0.11719975797617348,0.11719975797617348,3.801699314140802e-09,2513,negative,37
seasonal_hydro_reserve_gwh_p10,-0.11549272939022007,0.11549272939022007,6.39109558067267e-09,2513,negative,38
seasonal_inflow_hbv_gwh_std,-0.10277915146260758,0.10277915146260758,2.424823313569579e-07,2513,negative,39
week_of_year,-0.10143917533550784,0.10143917533550784,3.418293402878471e-07,2516,negative,40
seasonal_hydro_reserve_gwh_p90,-0.09631534635415695,0.09631534635415695,1.3173468805569334e-06,2513,negative,41
month_num,-0.09574110336107693,0.09574110336107693,1.5016369527177892e-06,2516,negative,42
seasonal_spot_price_mean,0.08466106011959734,0.08466106011959734,2.141869497279601e-05,2513,positive,43
season_autumn,-0.07013825633839944,0.07013825633839944,0.00043040106183652924,2516,negative,44
seasonal_hydro_reserve_gwh_std,-0.05147607882353628,0.05147607882353628,0.00985390146008354,2513,negative,45
seasonal_spot_price_std,-0.04111426563870969,0.04111426563870969,0.039312852122423414,2513,negative,46
seasonal_spot_price_p90,0.03795454234055682,0.03795454234055682,0.05711971449177749,2513,positive,47
season_spring,0.03722948680065625,0.03722948680065625,0.06188192306760021,2516,positive,48
hydro_above_seasonal_p90,0.0170314912651103,0.0170314912651103,0.393142302029982,2516,positive,49
