model,horizon,n_obs,crps_mean,crps_std,pinball_mean,rmse_median,mae_median,cov_50,width_50,cov_80,width_80,cov_90,width_90
Naive-Gaussian,1,37,10.4423,9.6491,5.2212,18.5688,12.6113,0.5946,29.8442,0.8919,56.705,0.9189,72.7801
Naive-Gaussian,7,37,29.8101,44.2209,14.9051,60.6633,30.2723,0.8378,78.9605,0.8649,150.0273,0.8919,192.558
Naive-Gaussian,14,37,64.2939,55.6,32.147,107.8013,87.8234,0.3243,111.6669,0.7027,212.1707,0.7838,272.3181
Naive-Gaussian,30,37,68.1147,76.6883,34.0573,123.1396,87.0199,0.7297,163.4637,0.7568,310.5861,0.8378,398.6329
Naive-Gaussian,60,37,73.0152,71.7549,36.5076,123.1648,86.1818,0.7838,231.1725,0.8649,439.235,0.9459,563.752
Naive-Gaussian,90,37,78.4915,68.5723,39.2457,122.977,85.0015,0.8108,283.1274,0.8649,537.9508,0.9459,690.4524
Naive-Gaussian,180,37,92.3042,65.1771,46.1521,120.5158,80.6191,0.8919,400.4026,0.9459,760.7774,0.973,976.4472
Naive-Gaussian,360,35,101.6276,23.0322,50.8138,59.336,53.5593,1.0,560.4824,1.0,1064.9341,1.0,1366.8281
LASSO-QR,1,37,12.5498,13.6909,6.2749,18.4999,12.5895,0.0,0.0924,0.0,0.2066,0.0,0.4096
LASSO-QR,7,37,30.1743,53.1495,15.0871,60.6565,30.2535,0.0,0.0924,0.0,0.2066,0.0,0.4096
LASSO-QR,14,37,37.2203,47.8714,18.6102,60.2716,37.2953,0.0,0.0924,0.0,0.2066,0.0,0.4096
LASSO-QR,30,37,43.4737,80.6567,21.7368,90.7765,43.549,0.0,0.0924,0.0,0.2066,0.0,0.4096
LASSO-QR,60,37,60.1247,103.7184,30.0624,118.7781,60.1993,0.0,0.0924,0.0,0.2066,0.0,0.4096
LASSO-QR,90,37,65.3435,97.6161,32.6717,116.4765,65.4154,0.0,0.0924,0.0,0.2066,0.0,0.4096
LASSO-QR,180,37,74.5287,107.091,37.2643,129.3951,74.593,0.0,0.0924,0.0,0.2066,0.0,0.4096
LASSO-QR,360,35,70.3077,106.6868,35.1538,126.6417,70.3836,0.0,0.097,0.0,0.2171,0.0,0.4315
DMLP,1,37,871.9802,5086.6452,435.9901,81.9814,49.9886,0.4595,385.3373,0.7027,7392.263,0.7838,45666.1493
DMLP,7,37,873.968,5086.8299,436.984,86.9907,53.2126,0.4865,385.3373,0.6757,7392.263,0.7568,45666.1493
DMLP,14,37,874.6133,5087.7329,437.3067,88.8373,54.8291,0.3514,385.3373,0.5405,7392.263,0.7027,45666.1493
DMLP,30,37,878.5026,5086.4788,439.2513,98.6431,59.5146,0.3243,385.3373,0.5405,7392.263,0.6757,45666.1493
DMLP,60,37,887.3717,5085.315,443.6859,113.5133,71.1098,0.2432,385.3373,0.5135,7392.263,0.6757,45666.1493
DMLP,90,37,886.0707,5084.4623,443.0354,109.1219,67.8944,0.2162,385.3373,0.5946,7392.263,0.6486,45666.1493
DMLP,180,37,887.629,5087.4965,443.8145,125.4985,69.3972,0.3784,385.3373,0.5135,7392.263,0.6486,45666.1493
DMLP,360,35,928.5148,5231.7325,464.2574,105.7998,62.8628,0.4,405.2615,0.6,7810.3914,0.6571,48269.7737
