forecast_date,target_date,horizon,y_true,crps,pinball_mean,model,year,regime,split,q05,q10,q25,q50,q75,q90,q95
2022-01-01,2022-01-02,1,114.38791666666668,7.918939506823213,3.9594697534116072,Naive-Gaussian,2022,Crisis (mid2021–2022),val,108.43857329159987,112.57223124532139,119.4793924425316,127.15375,134.8281075574684,141.7352687546786,145.86892670840012
2022-01-01,2022-01-08,7,145.39833333333334,11.427360961278575,5.713680480639287,Naive-Gaussian,2022,Crisis (mid2021–2022),val,77.63804668694486,88.57467763749617,106.84930843074955,127.15375,147.45819156925046,165.73282236250384,176.6694533130551
2022-01-01,2022-01-15,14,155.89583333333334,93.71501441723372,46.85750720861686,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-30.845378432665193,-15.37864661572619,10.465584099453753,39.18040074309979,67.89521738674583,93.73944810192577,109.20617991886473
2022-01-01,2022-01-31,30,162.89875,86.57256340427186,43.28628170213596,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-59.16634707296293,-36.52537001032368,1.3067099500405561,43.34089743589744,85.37508492175432,123.20716488211855,145.84814194475777
2022-01-01,2022-03-02,60,151.18125,69.68547009247892,34.84273504623945,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-103.48948051139539,-71.47030368403281,-17.967663111302315,41.477654914529914,100.92297294036214,154.42561351309263,186.44479034045517
2022-01-01,2022-04-01,90,187.0725,94.65726299875232,47.32863149937615,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-136.28475934873092,-97.06943674323816,-31.542352095878947,41.262996284501064,114.06834466488107,179.5954293122403,218.81075191773294
2022-01-01,2022-06-30,180,164.9925,73.88240684882129,36.94120342441064,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-209.0319248771405,-153.57308379561644,-60.9037919845512,42.05851910828026,145.02083020111172,237.69012201217694,293.1489630937009
2022-01-01,2022-12-27,360,135.02125,66.3131001513831,33.15655007569156,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-311.49046051860074,-233.05981530761522,-102.00564601289678,43.605050747863245,189.21574750862328,320.2699168033417,398.700562014327
2022-01-31,2022-02-01,1,143.79125,13.043515870667157,6.5217579353335795,Naive-Gaussian,2022,Crisis (mid2021–2022),val,143.19989926531156,147.5508232393326,154.82102643026508,162.89875,170.97647356973494,178.2466767606674,182.59760073468843
2022-01-31,2022-02-07,7,121.81,26.378257851648137,13.189128925824066,Naive-Gaussian,2022,Crisis (mid2021–2022),val,110.7804898422324,122.29195265084087,141.52710227495646,162.89875,184.27039772504355,203.50554734915914,215.01701015776757
2022-01-31,2022-02-14,14,108.60458333333334,40.686679006984775,20.343339503492395,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-27.29171395051467,-11.012047123827081,16.190562348872913,46.414636411889596,76.63871047490628,103.84131994760628,120.12098677429381
2022-01-31,2022-03-02,30,151.18125,74.19825848961433,37.09912924480717,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-64.4355271414513,-40.60453507583795,-0.7839922226403786,43.4595219017094,87.70303602605918,127.52357887925675,151.35457094487006
2022-01-31,2022-04-01,60,187.0725,97.20987917281819,48.60493958640908,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-109.25468654154301,-75.55257435754697,-19.237822593495927,43.33195512820513,105.90173284990618,162.21648461395722,195.91859679795317
2022-01-31,2022-05-01,90,192.9283333333333,99.64188292317313,49.820941461586564,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-147.43588517183917,-106.15939611942606,-37.18819271271411,39.44382165605096,116.07583602481603,185.047039431528,226.323528483941
2022-01-31,2022-07-30,180,212.24708333333336,104.97894057817875,52.48947028908938,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-222.95298312576236,-164.57921250069518,-67.03920122972968,41.33483280254777,149.70886683482524,247.2488781057907,305.6226487308578
2022-01-31,2023-01-26,360,122.99083333333334,64.56829777022348,32.284148885111755,Naive-Gaussian,2023,Post-Crisis (2023–2025),test,-329.73290190364355,-247.1799237988173,-109.23751698539338,44.026511752136756,197.2905404896669,335.2329473030908,417.7859254079168
2022-03-02,2022-03-03,1,160.69208333333333,5.72143215496919,2.860716077484596,Naive-Gaussian,2022,Crisis (mid2021–2022),val,131.31101644832776,135.69979408280813,143.03324908064488,151.18125,159.32925091935513,166.6627059171919,171.05148355167225
2022-03-02,2022-03-09,7,226.26916666666668,57.82040437165295,28.910202185826467,Naive-Gaussian,2022,Crisis (mid2021–2022),val,98.60955352950353,110.2211677099009,129.6236658850607,151.18125,172.73883411493932,192.14133229009911,203.75294647049645
2022-03-02,2022-03-16,14,194.0925,123.68062848021066,61.84031424010534,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-28.355684701801167,-11.934382446839457,15.504893616390742,45.99192144373673,76.47894927108271,103.91822533431292,120.3395275892746
2022-03-02,2022-04-01,30,187.0725,106.29346402521048,53.14673201260522,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-63.5568096179646,-39.51848451517402,0.6485027524679126,45.27694177350428,89.90538079454063,130.0723680621826,154.1106931649731
2022-03-02,2022-05-01,60,192.9283333333333,104.13771301915696,52.06885650957845,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-112.75351822329546,-78.75819284619539,-21.953494692628745,41.160649038461536,104.27479276955182,161.07949092311847,195.07481630021846
2022-03-02,2022-05-31,90,171.59625000000003,75.55331288020463,37.77665644010231,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-139.75681575692158,-98.12121535002996,-28.54995261550193,48.7487712314225,126.04749507834694,195.61875781287495,237.2543582197665
2022-03-02,2022-08-29,180,597.2333333333333,461.39768597498005,230.69884298749014,Naive-Gaussian,2022,Crisis (mid2021–2022),val,-218.3137792519113,-159.43214847893842,-61.04352516834697,48.27337845010616,157.59028206855928,255.97890537915072,314.86053615212353
2022-03-02,2023-02-25,360,89.23041666666666,57.7925668811947,28.89628344059733,Naive-Gaussian,2023,Post-Crisis (2023–2025),test,-333.84550357070526,-250.574302756922,-111.43177728786596,43.16567040598291,197.7631180998318,336.9056435688878,420.1768443826709
2022-04-01,2022-04-02,1,185.995,2.990888000421092,1.495444000210546,Naive-Gaussian,2022,Crisis (mid2021–2022),val,166.48495784386535,171.03216884311206,178.63035904683892,187.0725,195.51464095316106,203.11283115688792,207.66004215613464
